PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,UWI,CLASS
16.2,473.0,33.28,-93.3,3027001920000,
17.5,640.0,33.28,-93.3,3027001920000,
17.1,1895.0,33.28,-93.3,3027001920000,
16.9,1170.0,33.28,-93.3,3027001920000,
16.3,1080.0,33.28,-93.3,3027001920000,
18.8,752.0,33.28,-93.3,3027001920000,
19.4,660.0,33.28,-93.3,3027001920000,
22.6,63.0,33.28,-93.3,3027001920000,
16.3,190.0,33.28,-93.3,3027001920000,
15.9,98.0,33.28,-93.3,3027001920000,
17.4,452.0,33.28,-93.3,3027001920000,
18.2,212.0,33.28,-93.3,3027001920000,
18.7,266.0,33.28,-93.3,3027001920000,
18.9,118.0,33.28,-93.3,3027001920000,
19.1,1650.0,33.28,-93.3,3027001920000,
20.2,190.0,33.28,-93.3,3027001920000,
20.7,125.0,33.28,-93.3,3027001920000,
21.2,202.0,33.28,-93.3,3027001920000,
22.6,925.0,33.28,-93.3,3027001920000,
21.9,515.0,33.28,-93.3,3027001920000,
18.2,404.0,33.28,-93.3,3027001920000,
19.1,1895.0,33.28,-93.3,3027001920000,
17.4,3380.0,33.28,-93.3,3027001920000,
19.7,2220.0,33.28,-93.3,3027001920000,
19.3,1895.0,33.28,-93.3,3027001920000,
20.8,1650.0,33.28,-93.3,3027001920000,
19.4,2670.0,33.28,-93.3,3027001920000,
18.8,1860.0,33.28,-93.3,3027001920000,
18.5,1670.0,33.28,-93.3,3027001920000,
19.2,1460.0,33.28,-93.3,3027001920000,
19.8,1310.0,33.28,-93.3,3027001920000,
20.5,2220.0,33.28,-93.3,3027001920000,
21.3,2670.0,33.28,-93.3,3027001920000,
24.6,1875.0,33.28,-93.3,3027001920000,
23.2,1670.0,33.28,-93.3,3027001920000,
21.1,1490.0,33.28,-93.3,3027001920000,
19.0,2620.0,33.28,-93.3,3027001920000,
18.2,3390.0,33.28,-93.3,3027001920000,
18.9,3370.0,33.28,-93.3,3027001920000,
13.8,3510.0,33.2,-93.01,3027009980000,
17.8,1110.0,33.2,-93.01,3027009980000,
20.7,655.0,33.2,-93.01,3027009980000,
16.4,968.0,33.2,-93.01,3027009980000,
14.0,3590.0,33.2,-93.01,3027009980000,
16.8,6650.0,33.2,-93.01,3027009980000,
14.1,1442.0,33.2,-93.01,3027009980000,
15.1,3990.0,33.2,-93.01,3027009980000,
7.8,18.0,33.2,-93.01,3027009980000,
11.4,74.0,33.2,-93.01,3027009980000,
7.9,1.6,33.2,-93.01,3027009980000,
4.1,1.0,33.2,-93.01,3027009980000,
9.5,1.7,33.2,-93.01,3027009980000,
6.0,1.1,33.2,-93.01,3027009980000,
8.8,1.8,33.2,-93.01,3027009980000,
14.3,5.8,33.2,-93.01,3027009980000,
19.9,2483.0,33.2,-93.01,3027009980000,
7.3,1.5,33.2,-93.01,3027009980000,
7.9,1.2,33.2,-93.01,3027009980000,
17.2,3.0,33.2,-93.01,3027009980000,
20.4,178.0,33.2,-93.01,3027009980000,
27.1,3920.0,33.2,-93.01,3027009980000,
21.2,540.0,33.2,-93.01,3027009980000,
10.6,1.6,33.2,-93.01,3027009980000,
20.7,1691.0,33.2,-93.01,3027009980000,
12.9,8.8,33.2,-93.01,3027009980000,
7.0,3.2,33.2,-93.01,3027009980000,
12.2,3.3,33.2,-93.01,3027009980000,
17.8,117.0,33.2,-93.01,3027009980000,
21.2,901.0,33.2,-93.01,3027009980000,
18.7,12.0,33.2,-93.01,3027009980000,
18.3,9.0,33.2,-93.01,3027009980000,
17.9,19.0,33.2,-93.01,3027009980000,
18.3,16.0,33.2,-93.01,3027009980000,
19.7,31.0,33.2,-93.01,3027009980000,
18.1,18.0,33.2,-93.01,3027009980000,
21.6,29.0,33.2,-93.01,3027009980000,
19.5,13.0,33.2,-93.01,3027009980000,
13.6,52.0,33.2,-93.01,3027009980000,
18.9,24.0,33.2,-93.01,3027009980000,
10.0,1.8,33.2,-93.01,3027009980000,
21.4,528.0,33.2,-93.01,3027009980000,
10.1,3.6,33.2,-93.01,3027009980000,
24.9,1.1,33.2,-93.01,3027009980000,
14.5,8.6,33.2,-93.01,3027009980000,
12.1,3.3,33.2,-93.01,3027009980000,
20.6,33.0,33.2,-93.01,3027009980000,
10.7,1.8,33.2,-93.01,3027009980000,
14.3,1.11,33.2,-93.01,3027009980000,
18.6,1.8,33.2,-93.01,3027009980000,
22.0,46.0,33.2,-93.01,3027009980000,
14.2,15.0,33.2,-93.01,3027009980000,
14.1,40.0,33.2,-93.01,3027009980000,
17.5,45.0,33.2,-93.01,3027009980000,
11.3,16.0,33.2,-93.01,3027009980000,
