PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
21.3,2.3,28.9,-89.61,3,17719404880000,10790.0
18.8,6.6,28.9,-89.61,2,17719404880000,11492.0
20.6,2.9,28.9,-89.61,3,17719404880000,12205.0
23.2,17.0,28.9,-89.61,1,17719404880000,12527.0
21.2,12.0,28.9,-89.61,2,17719404880000,12531.0
19.3,4.8,28.9,-89.61,2,17719404880000,12532.0
18.8,5.4,28.9,-89.61,2,17719404880000,12534.0
25.0,30.0,28.9,-89.61,1,17719404880000,12543.0
24.1,15.0,28.9,-89.61,1,17719404880000,12544.0
23.4,25.0,28.9,-89.61,1,17719404880000,12550.0
24.1,20.0,28.9,-89.61,1,17719404880000,12556.0
25.2,60.0,28.9,-89.61,1,17719404880000,12558.0
23.8,20.0,28.9,-89.61,1,17719404880000,12564.0
22.7,30.0,28.9,-89.61,1,17719404880000,12566.0
23.5,12.0,28.9,-89.61,1,17719404880000,12573.0
26.2,35.0,28.9,-89.61,1,17719404880000,12576.0
23.4,9.4,28.9,-89.61,1,17719404880000,12580.0
24.1,55.0,28.9,-89.61,1,17719404880000,12619.0
22.8,40.0,28.9,-89.61,1,17719404880000,12621.0
22.3,30.0,28.9,-89.61,1,17719404880000,12623.0
22.8,35.0,28.9,-89.61,1,17719404880000,12625.0
