PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
23.5,1.7,28.85,-89.28,2,17721009430000,7579.0
25.3,230.0,28.85,-89.28,3,17721009430000,8710.0
25.4,105.0,28.85,-89.28,3,17721009430000,8711.0
27.0,52.0,28.85,-89.28,3,17721009430000,8717.0
31.5,480.0,28.85,-89.28,1,17721009430000,8718.0
30.2,560.0,28.85,-89.28,1,17721009430000,8724.0
31.3,535.0,28.85,-89.28,1,17721009430000,8727.0
23.6,8.4,28.85,-89.28,2,17721009430000,8730.0
30.9,395.0,28.85,-89.28,1,17721009430000,8734.0
30.7,330.0,28.85,-89.28,1,17721009430000,8735.0
26.1,58.0,28.85,-89.28,3,17721009430000,8740.0
29.0,400.0,28.85,-89.28,1,17721009430000,8745.0
28.0,64.0,28.85,-89.28,3,17721009430000,8749.0
27.9,395.0,28.85,-89.28,1,17721009430000,8752.0
33.0,1960.0,28.85,-89.28,1,17721009430000,8756.0
26.5,160.0,28.85,-89.28,3,17721009430000,8762.0
26.2,185.0,28.85,-89.28,3,17721009430000,8765.0
28.0,240.0,28.85,-89.28,1,17721009430000,8798.0
28.3,305.0,28.85,-89.28,1,17721009430000,8802.0
28.7,330.0,28.85,-89.28,1,17721009430000,8804.0
28.6,260.0,28.85,-89.28,1,17721009430000,8820.0
31.2,580.0,28.85,-89.28,1,17721009430000,9042.0
31.9,470.0,28.85,-89.28,1,17721009430000,9043.0
30.7,395.0,28.85,-89.28,1,17721009430000,9045.0
25.5,9.6,28.85,-89.28,2,17721009430000,9093.0
27.5,65.0,28.85,-89.28,3,17721009430000,9098.0
23.5,6.5,28.85,-89.28,2,17721009430000,9100.0
25.3,9.5,28.85,-89.28,2,17721009430000,9102.0
24.9,8.9,28.85,-89.28,2,17721009430000,9108.0
24.0,8.4,28.85,-89.28,2,17721009430000,9111.0
11.1,0.1,28.85,-89.28,2,17721009430000,9114.0
25.0,8.4,28.85,-89.28,2,17721009430000,9118.0
29.4,385.0,28.85,-89.28,1,17721009430000,9125.0
27.0,35.0,28.85,-89.28,3,17721009430000,9214.0
27.0,42.0,28.85,-89.28,3,17721009430000,9215.0
29.3,55.0,28.85,-89.28,2,17721009430000,9220.0
