API : 422453226000  
WELL : GARTH C1             
FIELD :    CHEEK SOUTH                  
MD(FT)    TVD(FT)   AZ(DEG)   INC(DEG)  X(FT)     Y(FT)
      0.00      0.00      0.00      0.00      0.00      0.00
    100.00    100.00     93.00      0.25      0.22     -0.01
    200.00    200.00     41.00      0.25      0.58      0.14
    300.00    300.00     82.00      0.50      1.15      0.37
    400.00    399.99     78.00      0.25      1.80      0.47
    500.00    499.99     80.00      0.25      2.23      0.56
    600.00    599.99     46.00      0.25      2.60      0.75
    700.00    699.99     46.00      0.50      3.07      1.20
    800.00    799.98     26.00      1.00      3.77      2.29
    900.00    899.97     22.00      0.75      4.39      3.68
   1000.00    999.97     54.00      0.25      4.82      4.41
   1100.00   1099.97     54.00      0.25      5.17      4.67
   1200.00   1199.96    331.00      0.25      5.24      4.99
   1300.00   1299.96     88.00      0.25      5.35      5.19
   1400.00   1399.96    313.00      0.25      5.41      5.34
   1500.00   1499.96     73.00      0.25      5.46      5.56
   1600.00   1599.96    106.00      0.25      5.88      5.56
   1700.00   1699.96    146.00      0.25      6.21      5.32
   1800.00   1799.96    318.00      0.25      6.19      5.30
   1900.00   1899.96    327.00      0.25      5.92      5.65
   2000.00   1999.96    345.00      0.25      5.75      6.04
   2100.00   2099.96     96.00      0.25      5.91      6.23
   2200.00   2199.96    122.00      0.25      6.31      6.09
   2300.00   2299.96     62.00      0.25      6.69      6.08
   2400.00   2399.96     65.00      0.25      7.08      6.27
   2500.00   2499.96    104.00      0.25      7.49      6.31
   2600.00   2599.95     96.00      0.25      7.91      6.23
   2700.00   2699.95    146.00      0.25      8.25      6.03
   2800.00   2799.95     66.00      0.25      8.57      5.94
   2900.00   2899.95    113.00      0.25      8.97      5.94
   3000.00   2999.95    138.00      0.25      9.32      5.69
   3100.00   3099.95     59.00      0.25      9.65      5.65
   3136.00   3135.95     58.00      0.25      9.79      5.73
   3235.00   3234.92    250.00      2.40      8.02      5.13
   3333.00   3332.79    259.00      3.60      3.07      3.84
   3425.00   3424.48    246.00      5.80     -4.01      1.40
   3519.00   3517.91    249.00      6.80    -13.54     -2.52
   3613.00   3611.26    257.00      6.70    -24.08     -5.75
   3707.00   3704.53    252.00      7.60    -35.34     -8.91
   3800.00   3796.56    256.00      8.90    -48.17    -12.55
   3895.00   3890.26    256.00     10.10    -63.38    -16.34
   3989.00   3982.41    257.00     12.60    -81.37    -20.64
   4082.00   4073.01    256.00     13.50   -101.79    -25.55
   4173.00   4161.34    256.00     14.30   -123.00    -30.84
   4268.00   4252.91    254.00     16.60   -147.43    -37.42
   4361.00   4341.94    252.00     17.00   -173.13    -45.28
   4455.00   4431.85    253.00     16.90   -199.27    -53.52
   4547.00   4519.69    255.00     17.70   -225.56    -61.05
   4641.00   4609.27    254.00     17.60   -253.03    -68.67
   4734.00   4697.99    255.00     17.30   -279.90    -76.12
   4827.00   4786.71    254.00     17.60   -306.77    -83.58
   4921.00   4876.36    253.00     17.40   -333.87    -91.60
   5012.00   4963.19    253.00     17.40   -359.90    -99.56
   5105.00   5052.27    255.00     16.00   -385.58   -106.94
   5198.00   5141.76    254.00     15.60   -409.98   -113.71
   5291.00   5231.46    252.00     15.00   -433.44   -120.87
   5384.00   5321.48    251.00     14.10   -455.60   -128.28
   5478.00   5413.04    251.00     12.00   -475.67   -135.19
   5571.00   5504.13    253.00     11.30   -493.52   -141.00
   5665.00   5596.51    253.00     10.00   -510.14   -146.08
   5759.00   5689.20    250.00      9.10   -524.93   -151.01
   5852.00   5781.15    245.00      8.20   -537.85   -156.33
   5946.00   5874.33    244.00      6.90   -549.00   -161.64
   6039.00   5966.78    249.00      5.50   -558.18   -165.68
   6132.00   6059.41    250.00      4.80   -566.00   -168.61
   6226.00   6153.14    259.00      3.80   -572.75   -170.55
   6319.00   6245.97    253.00      3.20   -578.26   -171.90
   6413.00   6339.86    248.00      2.20   -582.44   -173.34
   6505.00   6431.81    235.00      1.50   -585.07   -174.69
   6598.00   6524.79    225.00      1.10   -586.69   -176.02
   6879.00   6805.74    204.00      1.00   -589.60   -180.17
   7188.00   7114.69    224.00      1.25   -593.04   -185.06
   7686.00   7612.57    239.00      1.25   -601.47   -191.76
   8185.00   8111.47    249.00      1.00   -610.20   -196.13
   8528.00   8454.42    260.00      1.00   -615.94   -197.72
   8575.00   8501.41    260.00      1.00   -616.75   -197.86
