API : 427033017800  
WELL : ST TR 01             
FIELD :    WILDCAT                      
MD(FT)    TVD(FT)   AZ(DEG)   INC(DEG)  X(FT)     Y(FT)
      0.00      0.00      0.00      0.00      0.00      0.00
    327.00    327.00      0.00      0.00      0.00      0.00
    457.00    456.94    210.00      3.00     -1.70     -2.95
    551.00    550.82    214.00      2.75     -4.19     -6.95
    644.00    643.75    214.00      1.75     -6.23     -9.97
    737.00    736.70    209.00      2.00     -7.81    -12.57
    830.00    829.64    211.00      2.25     -9.54    -15.55
    924.00    923.58    223.00      1.75    -11.47    -18.19
   1017.00   1016.55    232.00      1.25    -13.24    -19.85
   1110.00   1109.52    233.00      1.25    -14.85    -21.08
   1203.00   1202.50    221.00      1.25    -16.32    -22.46
   1297.00   1296.48    212.00      1.00    -17.43    -23.93
   1390.00   1389.47    218.00      1.00    -18.36    -25.26
   1483.00   1482.46    221.00      0.75    -19.26    -26.36
   1576.00   1575.45    230.00      0.50    -19.97    -27.08
   1670.00   1669.45    225.00      0.25    -20.43    -27.48
   1763.00   1762.45    191.00      0.25    -20.61    -27.83
   1856.00   1855.45    251.00      0.75    -21.23    -28.22
   1949.00   1948.44    226.00      0.75    -22.24    -28.85
   2043.00   2042.43    262.00      1.00    -23.49    -29.39
   2136.00   2135.42    210.00      0.75    -24.60    -30.03
   2229.00   2228.41    200.00      0.50    -25.04    -30.94
   2322.00   2321.41    225.00      0.75    -25.61    -31.75
   2416.00   2415.40    223.00      0.50    -26.33    -32.48
   2509.00   2508.39    228.00      1.00    -27.21    -33.32
   2602.00   2601.39    156.00      0.75    -27.56    -34.42
   2695.00   2694.38    200.00      0.50    -27.46    -35.36
   2789.00   2788.38    152.00      0.50    -27.40    -36.11
   2882.00   2881.37    189.00      0.50    -27.28    -36.87
   2975.00   2974.37      0.00      0.00    -27.34    -37.27
   3068.00   3067.37    138.00      0.50    -27.07    -37.57
   3162.00   3161.37    208.00      0.50    -26.99    -38.23
   3255.00   3254.36    238.00      0.75    -27.69    -38.92
   3348.00   3347.36    237.00      0.75    -28.72    -39.57
   3441.00   3440.35    205.00      0.75    -29.49    -40.45
   3535.00   3534.34    203.00      0.50    -29.91    -41.39
   3628.00   3627.34    112.00      0.50    -29.69    -41.91
   3721.00   3720.34     28.00      0.50    -29.12    -41.71
   3814.00   3813.34     96.00      0.50    -28.53    -41.39
   3908.00   3907.33    106.00      1.00    -27.33    -41.66
   4001.00   4000.32     89.00      0.75    -25.94    -41.87
   4094.00   4093.31     99.00      0.50    -24.93    -41.93
   4187.00   4186.31     72.00      0.75    -23.95    -41.80
   4281.00   4280.30    106.00      0.25    -23.17    -41.67
   4374.00   4373.30    349.00      0.25    -23.02    -41.52
   4467.00   4466.30     33.00      0.50    -22.83    -40.98
   4560.00   4559.30     44.00      0.50    -22.33    -40.35
   4654.00   4653.29     34.00      0.50    -21.82    -39.72
   4670.00   4669.29     34.00      0.50    -21.74    -39.60
   4747.00   4746.29     32.00      0.25    -21.46    -39.18
   4840.00   4839.29     21.00      0.25    -21.28    -38.82
   4933.00   4932.29     19.00      0.25    -21.14    -38.44
   5026.00   5025.29    318.00      0.25    -21.21    -38.10
   5120.00   5119.28      9.00      0.75    -21.25    -37.34
   5213.00   5212.28    351.00      0.75    -21.25    -36.13
   5306.00   5305.26    347.00      1.00    -21.53    -34.74
   5399.00   5398.25    349.00      1.25    -21.91    -32.95
   5493.00   5492.21    357.00      1.75    -22.18    -30.51
   5586.00   5585.18    349.00      1.50    -22.48    -27.90
   5679.00   5678.10      1.00      3.00    -22.67    -24.27
   5772.00   5770.97    353.00      3.25    -22.95    -19.22
   5866.00   5864.85    352.00      2.50    -23.56    -14.55
   5959.00   5957.76    349.00      2.50    -24.23    -10.55
   6052.00   6050.68    348.00      2.25    -25.00     -6.77
   6145.00   6143.61    355.00      2.25    -25.54     -3.17
   6239.00   6237.51    358.00      3.00    -25.78      1.13
   6332.00   6330.39    358.00      2.75    -25.95      5.79
   6425.00   6423.29      1.00      2.50    -25.99     10.05
   6518.00   6516.22      1.00      2.00    -25.93     13.70
   6612.00   6610.17    357.00      1.75    -25.97     16.77
   6705.00   6703.13    352.00      1.50    -26.22     19.40
   6798.00   6796.11    346.00      1.25    -26.63     21.58
   6891.00   6889.09    338.00      1.00    -27.18     23.32
   6959.00   6957.08    335.00      1.00    -27.65     24.41
   7018.00   7016.07    360.00      1.25    -27.87     25.52
   7111.00   7109.05     17.00      1.00    -27.63     27.31
   7205.00   7203.03      3.00      1.00    -27.35     28.91
   7298.00   7296.03    287.00      0.50    -27.70     29.84
   7392.00   7390.02    324.00      0.50    -28.33     30.29
   7429.00   7427.02    324.00      0.50    -28.52     30.56
   7538.00   7536.01     26.00      1.50    -28.17     32.22
   7631.00   7628.99     23.00      0.75    -27.40     33.88
   7723.00   7720.99    328.00      0.25    -27.27     34.60
   7816.00   7813.98    359.00      0.75    -27.39     35.38
   7910.00   7907.97    338.00      0.75    -27.63     36.57
   8003.00   8000.97    280.00      0.50    -28.26     37.20
   8026.00   8023.97    277.00      0.75    -28.51     37.24
