API : 427063007200  
WELL : ST TR 03             
FIELD :    GALVESTON BLOCK L-0310       
MD(FT)    TVD(FT)   AZ(DEG)   INC(DEG)  X(FT)     Y(FT)
      0.00      0.00      0.00      0.00      0.00      0.00
    625.00    625.00    180.00      0.00      0.00      0.00
    825.00    825.00    121.00      0.50      0.75     -0.45
    882.00    881.97    230.00      3.00     -0.18     -1.54
    913.00    912.91    240.00      4.50     -1.86     -2.67
    943.00    942.81    247.00      4.50     -3.96     -3.71
   1004.00   1003.50    237.00      7.00     -9.28     -6.67
   1125.00   1122.95    250.00     11.30    -26.61    -14.75
   1217.00   1213.12    210.00     12.50    -40.08    -26.47
   1374.00   1366.01    239.00     14.30    -65.23    -51.20
   1530.00   1516.63    225.00     16.00    -96.96    -76.34
   1655.00   1636.39    224.00     17.30   -122.05   -101.89
   1780.00   1755.34    225.00     18.50   -148.99   -129.29
   1879.00   1847.96    222.00     22.80   -172.94   -154.66
   1970.00   1930.13    222.00     28.00   -199.05   -183.66
   2097.00   2040.38    224.00     31.50   -242.06   -229.69
   2189.00   2118.62    220.00     32.00   -274.43   -265.66
   2283.00   2197.67    220.00     33.50   -307.12   -304.61
   2408.00   2301.00    220.00     35.00   -352.33   -358.50
   2564.00   2427.20    220.00     37.00   -411.27   -428.74
   2721.00   2550.91    222.00     39.00   -474.70   -501.66
   2815.00   2621.84    223.00     43.00   -516.37   -547.10
   2972.00   2735.25    225.00     44.50   -591.80   -625.17
   3143.00   2857.95    225.00     43.80   -676.02   -709.39
   3332.00   2990.88    226.00     46.80   -771.85   -803.51
   3500.00   3104.59    227.00     48.00   -861.55   -888.63
   3690.00   3233.56    227.00     46.50   -963.59   -983.78
   3842.00   3336.74    227.00     48.00  -1045.22  -1059.90
   4031.00   3460.74    230.00     50.00  -1152.06  -1154.35
   4124.00   3521.45    232.00     48.50  -1206.80  -1198.69
   4249.00   3604.85    232.00     47.80  -1280.17  -1256.02
   4437.00   3732.10    233.00     47.00  -1389.95  -1340.26
   4623.00   3859.57    237.00     46.50  -1500.87  -1417.96
   4747.00   3945.32    238.00     46.00  -1576.41  -1466.08
   4937.00   4076.13    242.00     47.00  -1695.74  -1534.93
   4981.00   4106.29    237.00     46.50  -1723.34  -1551.18
   5070.00   4169.07    233.00     43.80  -1775.03  -1587.31
   5165.00   4237.52    234.00     44.00  -1827.98  -1626.49
   5257.00   4304.09    235.00     43.30  -1879.68  -1663.37
   5351.00   4370.96    232.00     46.00  -1932.74  -1702.69
   5449.00   4438.73    233.00     46.50  -1988.90  -1745.78
   5544.00   4503.82    234.00     47.00  -2044.53  -1786.94
   5667.00   4587.87    236.00     46.80  -2118.08  -1838.45
   5743.00   4640.53    232.00     45.50  -2162.42  -1870.63
   5806.00   4684.90    226.00     45.00  -2196.16  -1899.95
   5917.00   4763.40    224.00     45.00  -2251.66  -1955.44
   6041.00   4851.08    224.00     45.00  -2312.56  -2018.52
   6165.00   4937.99    225.00     46.00  -2374.56  -2081.59
   6291.00   5025.28    225.00     46.30  -2438.81  -2145.84
   6384.00   5089.71    224.00     46.00  -2485.82  -2193.68
   6510.00   5177.40    225.00     45.80  -2549.24  -2258.21
   6666.00   5288.84    224.00     43.00  -2625.75  -2336.04
   6791.00   5381.73    224.00     41.00  -2683.84  -2396.20
   6929.00   5486.67    225.00     40.00  -2746.65  -2460.13
   7086.00   5608.67    225.00     38.00  -2816.52  -2529.99
   7148.00   5657.70    227.00     37.50  -2843.81  -2556.35
   7242.00   5732.52    227.00     37.00  -2885.43  -2595.16
   7424.00   5877.59    228.00     37.30  -2966.46  -2669.41
   7612.00   6025.12    229.00     39.30  -3053.74  -2746.59
   7800.00   6168.50    230.00     41.30  -3146.20  -2825.54
   7991.00   6310.88    230.00     42.30  -3243.73  -2907.37
   8179.00   6447.70    231.00     44.30  -3343.22  -2989.36
   8369.00   6584.02    231.00     44.00  -3446.07  -3072.65
   8557.00   6720.62    231.00     42.80  -3546.45  -3153.94
   8746.00   6860.41    232.00     41.80  -3645.99  -3233.13
   8936.00   7001.84    235.00     42.00  -3747.97  -3308.58
   9136.00   7150.49    232.00     42.00  -3855.52  -3388.16
   9166.00   7172.78    232.00     42.00  -3871.34  -3400.52
