API : 422453252300  
WELL : MEADOWS1             
FIELD :    BINDWEED                     
MD(FT)    TVD(FT)   AZ(DEG)   INC(DEG)  X(FT)     Y(FT)
      0.00      0.00      0.00      0.00      0.00      0.00
    200.00    200.00     89.85      0.25      0.44      0.00
    400.00    400.00     47.89      0.25      1.20      0.29
    600.00    600.00    333.91      0.25      1.33      0.98
    800.00    799.99    289.94      0.50      0.32      1.67
   1000.00    999.98    287.96      0.50     -1.33      2.24
   1200.00   1199.98    251.98      0.25     -2.58      2.37
   1400.00   1399.98    230.00      0.50     -3.66      1.67
   1600.00   1599.97    188.02      0.50     -4.45      0.25
   1800.00   1799.96    211.04      0.75     -5.25     -1.74
   2000.00   1999.94    252.07      0.75     -7.17     -3.26
   2200.00   2199.93    180.09      0.50     -8.42     -4.54
   2400.00   2399.93    138.11      0.25     -8.13     -5.73
   2600.00   2599.92    232.13      0.50     -8.52     -6.60
   2800.00   2799.91    272.15      0.75    -10.52     -7.08
   3000.00   2999.90    311.17      0.50    -12.49     -6.46
   3200.00   3199.90    282.26      0.50    -14.00     -5.70
   3400.00   3399.89    359.28      0.50    -14.86     -4.64
   3600.00   3599.89    352.30      0.25    -14.93     -3.34
   3800.00   3799.88    290.32      0.50    -15.81     -2.60
   4000.00   3999.87    297.35      0.50    -17.40     -1.90
   4200.00   4199.87    295.30      0.50    -18.96     -1.12
   4304.00   4303.86    190.10      0.30    -19.42     -1.20
   4335.00   4334.86    123.30      0.60    -19.30     -1.37
   4397.00   4396.86    166.90      0.50    -18.97     -1.81
   4429.00   4428.86    124.50      0.40    -18.84     -2.01
   4460.00   4459.86    148.70      0.50    -18.68     -2.18
   4491.00   4490.86    136.30      1.10    -18.41     -2.51
   4519.00   4518.85    126.50      1.60    -17.91     -2.94
   4551.00   4550.83    125.60      2.00    -17.10     -3.53
   4580.00   4579.81    126.60      2.70    -16.14     -4.23
   4612.00   4611.77    126.50      3.20    -14.81     -5.21
   4643.00   4642.71    124.30      3.60    -13.31     -6.28
   4675.00   4674.64    130.20      3.80    -11.67     -7.53
   4706.00   4705.57    128.50      4.30     -9.98     -8.91
   4737.00   4736.47    127.30      4.70     -8.06    -10.41
   4769.00   4768.35    121.90      5.20     -5.79    -11.97
   4801.00   4800.21    122.70      5.60     -3.24    -13.58
   4833.00   4832.05    124.50      5.80     -0.59    -15.34
   4865.00   4863.86    121.80      6.70      2.33    -17.24
   4896.00   4894.62    126.10      7.70      5.54    -19.41
   4928.00   4926.28    124.10      8.80      9.30    -22.05
   4959.00   4956.89    124.50      9.40     13.35    -24.81
   4991.00   4988.43    125.60     10.10     17.78    -27.93
   5022.00   5018.93    125.20     10.50     22.30    -31.14
   5053.00   5049.39    128.30     10.90     26.91    -34.58
   5084.00   5079.81    129.70     11.30     31.55    -38.34
   5115.00   5110.19    132.10     11.80     36.24    -42.40
   5146.00   5140.51    133.80     12.10     40.93    -46.78
   5178.00   5171.79    136.10     12.30     45.72    -51.55
   5210.00   5203.00    137.90     13.30     50.55    -56.74
   5241.00   5233.12    137.30     14.00     55.48    -62.14
   5271.00   5262.20    137.20     14.50     60.50    -67.57
   5364.00   5352.07    137.10     15.30     76.76    -85.10
   5457.00   5441.84    137.90     15.00     93.18   -103.02
   5550.00   5531.69    137.90     14.90    109.26   -120.82
   5643.00   5621.39    138.40     15.70    125.64   -139.10
   5737.00   5711.89    137.70     15.70    142.64   -158.02
   5831.00   5802.36    138.90     15.80    159.61   -177.07
   5926.00   5893.86    135.90     15.40    176.89   -195.87
   6020.00   5984.42    135.70     15.70    194.46   -213.94
   6114.00   6075.00    136.70     15.30    211.85   -232.06
   6208.00   6165.67    135.70     15.30    229.02   -249.97
   6301.00   6255.24    134.50     15.90    246.67   -267.68
   6395.00   6345.56    131.30     16.30    265.77   -285.41
   6489.00   6435.66    130.60     16.80    285.99   -302.96
   6581.00   6523.59    130.20     17.40    306.59   -320.49
   6675.00   6613.27    130.30     17.50    328.11   -338.70
   6768.00   6701.92    129.70     17.70    349.65   -356.77
   6862.00   6791.29    129.80     18.40    372.04   -375.40
   6893.00   6820.72    129.20     18.20    379.55   -381.59
   6924.00   6850.13    130.20     18.70    387.10   -387.86
   6955.00   6879.53    129.90     18.20    394.61   -394.17
   6986.00   6909.01    129.90     17.90    401.98   -400.33
   7017.00   6938.49    129.90     18.10    409.33   -406.48
   7048.00   6968.04    129.90     17.10    416.52   -412.49
   7079.00   6997.72    131.50     16.40    423.29   -418.31
   7110.00   7027.46    131.00     16.40    429.87   -424.08
   7141.00   7057.27    132.10     15.50    436.25   -429.73
   7173.00   7088.15    131.60     14.90    442.50   -435.33
   7204.00   7118.09    132.90     15.10    448.44   -440.72
   7236.00   7149.03    132.40     14.50    454.45   -446.26
   7267.00   7179.06    131.90     14.20    460.14   -451.42
   7299.00   7210.07    131.50     14.50    466.07   -456.70
   7330.00   7240.16    132.30     13.30    471.61   -461.67
   7362.00   7271.35    132.10     12.50    476.90   -466.47
   7393.00   7301.64    131.20     12.10    481.84   -470.86
   7425.00   7332.93    129.80     12.00    486.91   -475.19
   7456.00   7363.26    130.80     11.90    491.81   -479.35
   7488.00   7394.57    130.70     11.90    496.81   -483.65
   7518.00   7423.97    128.40     11.20    501.44   -487.48
   7549.00   7454.41    129.40     10.60    506.00   -491.16
   7580.00   7484.91    129.60      9.90    510.26   -494.67
   7611.00   7515.47    128.50      9.40    514.29   -497.94
   7642.00   7546.09    129.70      8.60    518.06   -501.00
   7674.00   7577.78    131.40      7.50    521.46   -503.91
   7705.00   7608.53    130.60      6.80    524.37   -506.44
   7737.00   7640.33    128.90      6.20    527.16   -508.76
   7768.00   7671.18    125.20      5.10    529.59   -510.60
   7800.00   7703.06    129.90      4.70    531.75   -512.26
   7832.00   7734.97    136.00      3.70    533.48   -513.85
   7863.00   7765.93    156.10      2.80    534.48   -515.26
   7895.00   7797.90    175.60      1.90    534.84   -516.50
   7926.00   7828.88    200.20      1.70    534.72   -517.45
   7957.00   7859.87    217.80      1.50    534.31   -518.20
   8000.00   7902.86    226.23      1.50    533.56   -519.03
   8200.00   8102.81    231.28      1.00    530.31   -521.94
   8240.00   8142.80    254.30      1.00    529.70   -522.25
   8847.00   8749.71    254.30      1.00    519.50   -525.12
