API : 427033028401  
WELL : ST TR 01-A           
FIELD :    BLOCK 630-L                  
MD(FT)    TVD(FT)   AZ(DEG)   INC(DEG)  X(FT)     Y(FT)
      0.00      0.00      0.00      0.00      0.00      0.00
    231.00    231.00      0.00      0.00      0.00      0.00
    309.00    309.00    320.00      0.25     -0.11      0.13
    402.00    402.00    181.00      0.25     -0.24      0.08
    495.00    495.00    125.00      0.25     -0.08     -0.24
    588.00    588.00     11.00      0.50      0.16      0.05
    681.00    680.99     22.00      0.50      0.39      0.82
    774.00    773.99     13.00      0.50      0.64      1.59
    866.00    865.98    338.00      1.25      0.35      2.91
    959.00    958.96    335.00      1.25     -0.46      4.77
   1052.00   1051.95    310.00      0.50     -1.20      5.95
   1145.00   1144.94     33.00      0.25     -1.40      6.38
   1238.00   1237.94    186.00      0.25     -1.31      6.35
   1331.00   1330.94    146.00      0.25     -1.22      5.98
   1423.00   1422.94    143.00      0.25     -0.98      5.66
   1516.00   1515.94    164.00      0.25     -0.81      5.30
   1609.00   1608.94    188.00      0.25     -0.78      4.90
   1650.00   1649.94    357.00      0.25     -0.80      4.90
   2608.00   2607.94      0.00      0.00     -0.90      6.99
   2666.00   2665.93     37.00      2.00     -0.30      7.80
   2720.00   2719.84     63.00      4.25      2.05      9.46
   2782.00   2781.60     74.00      6.00      7.22     11.40
   2844.00   2843.18     66.00      7.25     13.91     13.88
   2908.00   2906.56     69.00      8.75     22.14     17.27
   2973.00   2970.64     66.00     10.50     32.17     21.45
   3035.00   3031.45     62.00     12.00     43.02     26.77
   3096.00   3090.85     64.00     14.25     55.37     33.04
   3159.00   3151.77     66.00     15.25     69.91     39.81
   3284.00   3272.30     66.00     15.50    100.18     53.29
   3479.00   3460.09     66.00     15.75    148.16     74.65
   3662.00   3636.22     66.00     15.75    193.54     94.86
   3789.00   3758.38     66.00     16.00    225.28    108.99
   3974.00   3936.10     69.00     16.25    272.74    128.64
   4163.00   4117.32     70.00     16.75    323.02    147.43
   4351.00   4297.23     71.00     17.00    374.46    165.64
   4503.00   4442.78     71.00     16.50    415.88    179.90
   4693.00   4625.41     71.00     15.50    465.40    196.95
   4880.00   4805.61     73.00     15.50    512.92    212.39
   5068.00   4986.56     75.00     16.00    561.97    226.44
   5254.00   5165.57     76.00     15.50    610.84    239.09
   5438.00   5342.88     76.00     15.50    658.56    250.99
   5624.00   5522.12     77.00     15.50    706.89    262.59
   5814.00   5705.32     80.00     15.25    756.23    272.64
   6350.00   6222.45     80.00     15.25    895.08    297.12
